职位,薪资,公司,公司信息,公司地址,地区,工作经验,学历,人数,时间,岗位信息
['IT培训咨询顾问    人工智能大数据区块链'],['1-1.5万/月'],['上海领象信息科技有限公司'],['民营公司| 500-1000人| 教育/培训/院校 计算机软件'],['上班地址 : 世纪大道1500号东方大厦4层'],['上海-浦东新区'],['1年工作经验'],['大专'],['2人'],['2019-09-13'],
['大数据销售经理'],['1.2-2万/月'],['北京中天恒瑞管理顾问有限公司'],['民营公司| 50-150人| 专业服务(咨询、人力资源、财会) 教育/培训/院校'],['上班地址 : 回龙观珠江摩尔国际大厦5号楼1单元'],['北京-昌平区'],['2年工作经验'],['本科'],['2人'],['2019-09-13'],岗位职责：1、根据公司销售规划和目标，负责公司产品的市场拓展；2、进行目标客户的开拓，建立稳定的客户关系；3、结合客户具体需求，制定实施销售方案；4、了解客户需求，推荐销售优势产品；5、确保销售业绩的达成与完成公司交于的其它任务；6、定期与老客户进行沟通，建立良好的长期合作关系，挖掘客户新需求。任职要求：1、大学本科以上学历，房地产、经济学、计算机、市场营销类专业优先；2、有教育培训销售经验优先考虑，有房地产行业销售经验者优先考虑；3、熟练掌握Office办公软件及网络应用；4、具备良好的学习能力、沟通能力、公关能力，性格坚韧，思维敏捷；5、热爱销售工作，能够承受一定的工作压力；6、有强烈的事业心、责任心和积极的工作态度。
['大数据开发工程师'],['20-40万/年'],['杭州广立微电子有限公司'],['民营公司| 50-150人| 电子技术/半导体/集成电路'],['上班地址 : 湖南省长沙市岳麓西大道588号芯城科技园2号栋1906室'],['长沙-岳麓区'],['本科'],[],['若干人'],['2019-09-13'],
['咨询顾问（大数据）'],['10-15万/年'],['国网思极飞天（兰州）云数科技有限公司'],['国企| 50-150人| 计算机服务(系统、数据服务、维修) 计算机软件'],['上班地址 : 七里河区西津东路体育街'],['兰州'],['硕士'],[],['若干人'],['2019-09-13'],
['大数据应用工程师（武汉）'],['1.5-2万/月'],['广州思迈特软件有限公司'],['民营公司| 计算机软件'],[],['武汉'],['本科'],[],['10人'],['2019-09-13'],岗位职责：参与公司大数据应用项目开发和实施，包括需求设计、ETL数据开发、报表开发、SQL编写，技术方案的支持、培训、答疑等工作。岗位要求；1、2020届软件工程、计算机、数学、统计学类类相关专业硕士、优秀本科毕业生；2、了解数据仓库、数据挖掘相关技术；3、熟悉Oracle或SQL server数据库，熟练使用SQL语言。
['D-大数据平台类'],[],['潍柴动力股份有限公司'],['国企| 电气/电力/水利'],[],['潍坊'],['本科'],[],['若干人'],['2019-09-13'],工作职责主要从事大数据平台规划建设、系统运维、集群搭建、部署、调优，以及大数据相关技术的开发应用等工作。专业需求计算机等相关专业。
['大数据工程师（北京）'],[],['中移信息技术有限公司'],['国企| 通信/电信运营、增值服务'],[],['北京'],['本科'],[],['若干人'],['2019-09-13'],岗位职责：1、负责大数据平台技术架构规划、设计、技术选型、数据架构规划与设计，制定数据模型的统一标准规范；搭建系统开发环境，完成大数据产品框架和代码的实现；负责系统开发测试、部署和集成； 2、负责大数据分析、挖掘、建模方法和算法研究及技术实现；根据需求设计分析模型和算法，分析运行情况并调整、优化；3、负责大数据平台和业务运营支撑工作，大数据运营数据的收集、整理、经营分析服务。任职要求：1、通信、计算机、数学、信息管理、电子、自动化等专业；大学本科及以上学历。2、熟悉计算机网络、操作系统、数据库等基本原理；熟悉数据仓库、数据挖掘等基础知识；3、熟悉MySQL/Oracle等数据库、 Hadoop/Spark/Hbase等技术组件；了解人工智能相关技术，掌握深度学习算法和TensorFlow技术框架等；善于思考，沟通能力强，良好的团队精神。
['大数据运营工程师-嘉兴地区'],[],['中国移动通信集团浙江有限公司'],['上市公司| 通信/电信/网络设备'],[],['嘉兴'],['本科'],[],['若干人'],['2019-09-13'],主要工作职责1、负责大数据应用需求收集、挖掘、分析、需求评估实现并进行跟踪优化等工作；2、负责大数据平台的应用维护，包括数据的同步、维护和模型发布；3、负责大数据知识、技术能力、产品应用的培训宣传推广工作。能力素质及知识技能要求1、2020届普通高等学校全日制应届本科及以上学历毕业生，计算机类、信息类、数学统计类等相关专业；英语CET-4成绩达到425分及以上；2、熟悉Hive/SQL或SAS/JAVA/R语言及Linux/Unix 平台开发，了解底层数据的架构技术以及应用层数据分析和算法的基本概念；3、具备敏锐的商业敏感度和市场意识；优秀的数据分析能力、逻辑思维能力、细节关注能力；能够开发创新而实际的分析方法以解决复杂的商业问题，认可公司文化。
['大数据开发工程师'],[],['2020年瓜子二手车技术校园招聘'],['民营公司| 计算机硬件'],[],['北京'],['本科'],[],['若干人'],['2019-09-13'],岗位职责1. 负责瓜子大数据平台的开发、部署工作； 2. 深度参与各个子模块系统的需求分析、设计、开发和持续优化； 3. 其他大数据相关创新性技术方案的开发与验证。岗位要求1.计算机相关专业，基础扎实，熟悉常用数据结构与算法； 2. 熟悉Java/C++/Python语言中的一种或多种；3. 有Hive、Hadoop、Spark、Flink、Kafka 、HBase等技术实践经验优先； 4. 有开发经验包括不限于Spring、Mybatis、Redis 、mysql等组件使用经验优先； 5.对新兴技术有好奇心，有利用技术解决实际问题的热情，开源社区积极参与者优先。
['大数据网络技术工程师'],[],['中国电信四川公司'],['国企| 通信/电信运营、增值服务'],[],['成都'],['本科'],[],['4人'],['2019-09-13'],一、工作内容网络技术类维护管理支撑、大数据中心及云计算技术研究及大数据中心对外合作项目管理二、学历要求国家统招全日制一本院校本科及以上学历或国外QS排名前200的院校本科及以上学历三、专业要求数学与应用数学、统计学、数量经济学、计算机类或通信类（包括计算机科学与技术、计算机软件、网络工程、软件工程、物联网工程、信息安全、信息管理与信息系统；通信工程、无线通信、电子信息工程等）四、工作地点成都
